,0,1
198,-0.002398076,BsmtQual_TA
199,0,BsmtCond_Fa
200,0,BsmtCond_Gd
201,-0.001079976,BsmtCond_NoBsmt
202,0,BsmtCond_Po
203,0.031658068,BsmtCond_TA
204,0.002287631,BsmtExposure_Av
205,0.04886108,BsmtExposure_Gd
206,0,BsmtExposure_Mn
207,-0.007538334,BsmtExposure_No
208,-0.001733153,BsmtExposure_NoBsmt
209,0,BsmtFinType1_ALQ
210,0,BsmtFinType1_BLQ
211,0.008277239,BsmtFinType1_GLQ
212,0,BsmtFinType1_LwQ
213,-0.001502723,BsmtFinType1_NoBsmt
214,0,BsmtFinType1_Rec
215,-0.026972644,BsmtFinType1_Unf
216,0,BsmtFinType2_ALQ
217,0,BsmtFinType2_BLQ
218,0,BsmtFinType2_GLQ
219,0,BsmtFinType2_LwQ
220,-0.000969627,BsmtFinType2_NoBsmt
221,0,BsmtFinType2_Rec
222,0.01735688,BsmtFinType2_Unf
223,0,Heating_Floor
224,0,Heating_GasA
225,0,Heating_GasW
226,0,Heating_Grav
227,0,Heating_OthW
228,0,Heating_Wall
229,0.018341698,HeatingQC_Ex
230,0,HeatingQC_Fa
231,-0.001238236,HeatingQC_Gd
232,0,HeatingQC_Po
233,0,HeatingQC_TA
234,-0.051025024,CentralAir_N
235,0,CentralAir_Y
236,0,Electrical_FuseA
237,0,Electrical_FuseF
238,0,Electrical_FuseP
239,0,Electrical_Mix
240,0,Electrical_SBrkr
241,0.041145131,KitchenQual_Ex
242,0,KitchenQual_Fa
243,0,KitchenQual_Gd
244,-0.006002929,KitchenQual_TA
245,0,Functional_Maj1
246,0,Functional_Maj2
247,0,Functional_Min1
248,0,Functional_Min2
249,0,Functional_Mod
250,0,Functional_Sev
251,0.047571377,Functional_Typ
252,0,FireplaceQu_Ex
253,0,FireplaceQu_Fa
254,0,FireplaceQu_Gd
255,-0.005323024,FireplaceQu_NoFirepl
256,0,FireplaceQu_Po
257,0,FireplaceQu_TA
258,0,GarageType_2Types
259,0.017110291,GarageType_Attchd
260,0,GarageType_Basment
261,0,GarageType_BuiltIn
262,0,GarageType_CarPort
263,0,GarageType_Detchd
